,X,Y,value,,,,,,,,,,,,,,,
1,T1A,T1A,0,,,Twins,,dissimilarity,dissimilarity,similarity,,Piars,dissimilarity,similarity,,Twin pairs,BC dissimilarity,BC similarity
2,T1B,T1A,0.548609994,,,T1B,T1A,0.548609994,54.86099941,45.13900059,,T1A- T1B,54.9,45.1,,T1A- T1B,54.9,45.1
3,T2A,T1A,0.989718086,,,T2B,T2A,0.836408155,83.64081553,16.35918447,,T2A- T2B,83.6,16.4,,T2A- T2B,83.6,16.4
4,T2B,T1A,0.986266655,,,T3B,T3A,0.364026996,36.40269959,63.59730041,,T3A- T3B,36.4,63.6,,T3A- T3B,36.4,63.6
5,T3A,T1A,0.901252853,,,T4B,T4A,0.361378921,36.13789206,63.86210794,,T4A- T4B,36.1,63.9,,T4A- T4B,36.1,63.9
6,T3B,T1A,0.684182842,,,T5B,T5A,0.022459408,2.245940835,97.75405916,,T5A- T5B,2.2,97.8,,T5A- T5B,2.2,97.8
7,T4A,T1A,0.991919273,,,T6B,T6A,0.022019693,2.201969266,97.79803073,,T6A- T6B,2.2,97.8,,T6A- T6B,2.2,97.8
8,T4B,T1A,0.991539114,,,T7B,T7A,0.628267438,62.82674376,37.17325624,,T7A- T7B,62.8,37.2,,T7A- T7B,62.8,37.2
9,T5A,T1A,0.994425196,,,T8B,T8A,0.804578651,80.45786511,19.54213489,,T8A- T8B,80.5,19.5,,T8A- T8B,80.5,19.5
10,T5B,T1A,0.98569609,,,T9A,T9B,0.218082248,21.80822484,78.19177516,,T9A- T9B,21.8,78.2,,T9A- T9B,21.8,78.2
11,T6A,T1A,0.991520638,,,T10A,T10B,0.569722868,56.97228683,43.02771317,,T10A- T10B,57,43,,T10A- T10B,57,43
12,T6B,T1A,0.991252853,,,T11B,T11A,0.347577325,34.75773252,65.24226748,,T11A- T11B,34.8,65.2,,T11A- T11B,34.8,65.2
13,T7A,T1A,0.960476015,,,T12A,T12B,0.550467538,55.04675375,44.95324625,,T12A- T12B,55,45,,T12A- T12B,55,45
14,T7B,T1A,0.986116243,,,T13A,T13B,0.213754646,21.3754646,78.6245354,,T13A- T13B,21.4,78.6,,T13A- T13B,21.4,78.6
15,T8A,T1A,0.982953464,,,,,,,,,,,,,,,
16,T8B,T1A,0.6209692,,,,,,,,,,,,,,,
17,T9A,T1A,0.988134632,,,Non-twins,,,dissimilarity,similarity,,Non-twins- ,,,,Non-twin pairs,BC dissimilarity,BC similarity
18,T9B,T1A,0.988944726,,,T1A,T3B,0.684182842,68.41828417,31.58171583,,T1A- T3B,68.4,31.6,,T1A- T3B,68.4,31.6
19,T10A,T1A,0.444792314,,,T2A,T9B,0.924979025,92.49790249,7.502097507,,T2A- T9B,92.5,7.5,,T2A- T9B,92.5,7.5
20,T10B,T1A,0.978853435,,,T3A,T10B,0.604773187,60.47731867,39.52268133,,T3A- T10B,60.5,39.5,,T3A- T10B,60.5,39.5
21,T11A,T1A,0.991390223,,,T4A,T5A,0.100420371,10.04203708,89.95796292,,T4A- T5A,10,90,,T4A- T5A,10,90
22,T11B,T1A,0.986316865,,,T5A,T7B,0.432881518,43.2881518,56.7118482,,T5A- T7B,43.3,56.7,,T5A- T7B,43.3,56.7
23,T12A,T1A,0.990383637,,,T6A,T2B,0.27769296,27.76929598,72.23070402,,T6A- T2B,27.8,72.2,,T6A- T2B,27.8,72.2
24,T12B,T1A,0.962797835,,,T7A,T5B,0.901166996,90.11669963,9.883300367,,T7A- T5B,90.1,9.9,,T7A- T5B,90.1,9.9
25,T13A,T1A,0.986027778,,,T8A,T6B,0.792569174,79.25691743,20.74308257,,T8A- T6B,79.3,20.7,,T8A- T6B,79.3,20.7
26,T13B,T1A,0.987739692,,,T9A,T11B,0.343729432,34.37294325,65.62705675,,T9A- T11B,34.4,65.6,,T9A- T11B,34.4,65.6
27,T1A,T1B,0.548609994,,,T10A,T1B,0.562711327,56.27113265,43.72886735,,T10A- T1B,56.3,43.7,,T10A- T1B,56.3,43.7
28,T1B,T1B,0,,,T11A,T8B,0.840127372,84.01273719,15.98726281,,T11A- T8B,84,16,,T11A- T8B,84,16
29,T2A,T1B,0.983968309,,,T12A,T13B,0.545320495,54.53204947,45.46795053,,T12A- T13B,54.5,45.5,,T12A- T13B,54.5,45.5
30,T2B,T1B,0.924332384,,,T13A,T12B,0.565695872,56.56958724,43.43041276,,T13A- T12B,56.6,43.4,,T13A- T12B,56.6,43.4
31,T3A,T1B,0.907389093,,,,,,,,,,,,,,,
32,T3B,T1B,0.676384681,,,,,,,,,,,,,,,
33,T4A,T1B,0.987031539,,,,,,,,,,,,,,,
34,T4B,T1B,0.986246441,,,,,,,,,,,,,,,
35,T5A,T1B,0.988796487,,,,,,,,,,,,,,,
36,T5B,T1B,0.980061947,,,,,,,,,,,,,,,
37,T6A,T1B,0.983332536,,,,,,,,,,,,,,,
38,T6B,T1B,0.981481296,,,,,,,,,,,,,,,
39,T7A,T1B,0.940158454,,,,,,,,,,,,,,,
40,T7B,T1B,0.969748734,,,,,,,,,,,,,,,
41,T8A,T1B,0.645262243,,,,,,,,,,,,,,,
42,T8B,T1B,0.641072663,,,,,,,,,,,,,,,
43,T9A,T1B,0.981055274,,,,,,,,,,,,,,,
44,T9B,T1B,0.974964245,,,,,,,,,,,,,,,
45,T10A,T1B,0.562711327,,,,,,,,,,,,,,,
46,T10B,T1B,0.978202013,,,,,,,,,,,,,,,
47,T11A,T1B,0.984502141,,,,,,,,,,,,,,,
48,T11B,T1B,0.839639837,,,,,,,,,,,,,,,
49,T12A,T1B,0.971408047,,,,,,,,,,,,,,,
50,T12B,T1B,0.968518486,,,,,,,,,,,,,,,
51,T13A,T1B,0.481261982,,,,,,,,,,,,,,,
52,T13B,T1B,0.588990371,,,,,,,,,,,,,,,
53,T1A,T2A,0.989718086,,,,,,,,,,,,,,,
54,T1B,T2A,0.983968309,,,,,,,,,,,,,,,
55,T2A,T2A,0,,,,,,,,,,,,,,,
56,T2B,T2A,0.836408155,,,,,,,,,,,,,,,
57,T3A,T2A,0.759308366,,,,,,,,,,,,,,,
58,T3B,T2A,0.902416371,,,,,,,,,,,,,,,
59,T4A,T2A,0.934657552,,,,,,,,,,,,,,,
60,T4B,T2A,0.592505488,,,,,,,,,,,,,,,
61,T5A,T2A,0.92604082,,,,,,,,,,,,,,,
62,T5B,T2A,0.913340361,,,,,,,,,,,,,,,
63,T6A,T2A,0.920341252,,,,,,,,,,,,,,,
64,T6B,T2A,0.923147347,,,,,,,,,,,,,,,
65,T7A,T2A,0.111923838,,,,,,,,,,,,,,,
66,T7B,T2A,0.674189362,,,,,,,,,,,,,,,
67,T8A,T2A,0.541200904,,,,,,,,,,,,,,,
68,T8B,T2A,0.932538092,,,,,,,,,,,,,,,
69,T9A,T2A,0.850330602,,,,,,,,,,,,,,,
70,T9B,T2A,0.924979025,,,,,,,,,,,,,,,
71,T10A,T2A,0.932397679,,,,,,,,,,,,,,,
72,T10B,T2A,0.729329667,,,,,,,,,,,,,,,
73,T11A,T2A,0.924914035,,,,,,,,,,,,,,,
74,T11B,T2A,0.912662856,,,,,,,,,,,,,,,
75,T12A,T2A,0.871327407,,,,,,,,,,,,,,,
76,T12B,T2A,0.906337079,,,,,,,,,,,,,,,
77,T13A,T2A,0.878816702,,,,,,,,,,,,,,,
78,T13B,T2A,0.926259482,,,,,,,,,,,,,,,
79,T1A,T2B,0.986266655,,,,,,,,,,,,,,,
80,T1B,T2B,0.924332384,,,,,,,,,,,,,,,
81,T2A,T2B,0.836408155,,,,,,,,,,,,,,,
82,T2B,T2B,0,,,,,,,,,,,,,,,
83,T3A,T2B,0.362820223,,,,,,,,,,,,,,,
84,T3B,T2B,0.460982024,,,,,,,,,,,,,,,
85,T4A,T2B,0.292999544,,,,,,,,,,,,,,,
86,T4B,T2B,0.269848501,,,,,,,,,,,,,,,
87,T5A,T2B,0.293720738,,,,,,,,,,,,,,,
88,T5B,T2B,0.280354729,,,,,,,,,,,,,,,
89,T6A,T2B,0.27769296,,,,,,,,,,,,,,,
90,T6B,T2B,0.284611907,,,,,,,,,,,,,,,
91,T7A,T2B,0.805759558,,,,,,,,,,,,,,,
92,T7B,T2B,0.336247093,,,,,,,,,,,,,,,
93,T8A,T2B,0.697515813,,,,,,,,,,,,,,,
94,T8B,T2B,0.845047927,,,,,,,,,,,,,,,
95,T9A,T2B,0.173870498,,,,,,,,,,,,,,,
96,T9B,T2B,0.270565566,,,,,,,,,,,,,,,
97,T10A,T2B,0.76460256,,,,,,,,,,,,,,,
98,T10B,T2B,0.684148934,,,,,,,,,,,,,,,
99,T11A,T2B,0.288783881,,,,,,,,,,,,,,,
100,T11B,T2B,0.295847371,,,,,,,,,,,,,,,
101,T12A,T2B,0.120930511,,,,,,,,,,,,,,,
102,T12B,T2B,0.550478405,,,,,,,,,,,,,,,
103,T13A,T2B,0.497874237,,,,,,,,,,,,,,,
104,T13B,T2B,0.541440216,,,,,,,,,,,,,,,
105,T1A,T3A,0.901252853,,,,,,,,,,,,,,,
106,T1B,T3A,0.907389093,,,,,,,,,,,,,,,
107,T2A,T3A,0.759308366,,,,,,,,,,,,,,,
108,T2B,T3A,0.362820223,,,,,,,,,,,,,,,
109,T3A,T3A,0,,,,,,,,,,,,,,,
110,T3B,T3A,0.364026996,,,,,,,,,,,,,,,
111,T4A,T3A,0.474390854,,,,,,,,,,,,,,,
112,T4B,T3A,0.302895212,,,,,,,,,,,,,,,
113,T5A,T3A,0.469557459,,,,,,,,,,,,,,,
114,T5B,T3A,0.45337666,,,,,,,,,,,,,,,
115,T6A,T3A,0.464433456,,,,,,,,,,,,,,,
116,T6B,T3A,0.463596192,,,,,,,,,,,,,,,
117,T7A,T3A,0.710242137,,,,,,,,,,,,,,,
118,T7B,T3A,0.280438629,,,,,,,,,,,,,,,
119,T8A,T3A,0.606652683,,,,,,,,,,,,,,,
120,T8B,T3A,0.771758211,,,,,,,,,,,,,,,
121,T9A,T3A,0.389776773,,,,,,,,,,,,,,,
122,T9B,T3A,0.456504662,,,,,,,,,,,,,,,
123,T10A,T3A,0.70328863,,,,,,,,,,,,,,,
124,T10B,T3A,0.604773187,,,,,,,,,,,,,,,
125,T11A,T3A,0.464694503,,,,,,,,,,,,,,,
126,T11B,T3A,0.436738975,,,,,,,,,,,,,,,
127,T12A,T3A,0.399419436,,,,,,,,,,,,,,,
128,T12B,T3A,0.552572217,,,,,,,,,,,,,,,
129,T13A,T3A,0.53655748,,,,,,,,,,,,,,,
130,T13B,T3A,0.544108071,,,,,,,,,,,,,,,
131,T1A,T3B,0.684182842,,,,,,,,,,,,,,,
132,T1B,T3B,0.676384681,,,,,,,,,,,,,,,
133,T2A,T3B,0.902416371,,,,,,,,,,,,,,,
134,T2B,T3B,0.460982024,,,,,,,,,,,,,,,
135,T3A,T3B,0.364026996,,,,,,,,,,,,,,,
136,T3B,T3B,0,,,,,,,,,,,,,,,
137,T4A,T3B,0.492860869,,,,,,,,,,,,,,,
138,T4B,T3B,0.462484187,,,,,,,,,,,,,,,
139,T5A,T3B,0.479133175,,,,,,,,,,,,,,,
140,T5B,T3B,0.462910209,,,,,,,,,,,,,,,
141,T6A,T3B,0.47367531,,,,,,,,,,,,,,,
142,T6B,T3B,0.47336101,,,,,,,,,,,,,,,
143,T7A,T3B,0.853853979,,,,,,,,,,,,,,,
144,T7B,T3B,0.426295781,,,,,,,,,,,,,,,
